matColumns: HU rho RSP Lrad Ipot H C N O Na Mg P S Cl K Ca Fe I
# Units: dimensionless g/cm^3 dimensionless eV g/cm^2
mat: -969 0.0321937 0.0289119 36.974 85.44585795115215 1.23282 1.25676 67.7147 29.6521 0.0239382 0 0.0239382 0.0359073 0.0359073 0.0239382 0 0 0
mat: -968 0.0331928 0.0298229 36.972 85.39363490565954 1.27259 1.2973 67.4313 29.8506 0.0247104 0 0.0247104 0.0370656 0.0370656 0.0247104 0 0 0
mat: -967 0.034192 0.0307347 36.97 85.3414658735684 1.31236 1.33784 67.1479 30.049 0.0254826 0 0.0254826 0.0382239 0.0382239 0.0254826 0 0 0
mat: -966 0.0351911 0.0316474 36.968 85.28941213728943 1.35212 1.37838 66.8645 30.2475 0.0262548 0 0.0262548 0.0393822 0.0393822 0.0262548 0 0 0
mat: -965 0.0361903 0.0325609 36.9661 85.23738712148139 1.39189 1.41892 66.5811 30.4459 0.027027 0 0.027027 0.0405405 0.0405405 0.027027 0 0 0
mat: -964 0.0371894 0.0334752 36.9641 85.18545227709753 1.43166 1.45946 66.2977 30.6444 0.0277992 0 0.0277992 0.0416988 0.0416988 0.0277992 0 0 0
mat: -963 0.0381886 0.0343904 36.9621 85.1335891595516 1.47143 1.5 66.0143 30.8429 0.0285714 0 0.0285714 0.0428571 0.0428571 0.0285714 0 0 0
mat: -962 0.0391877 0.0353063 36.9602 85.08177919293236 1.5112 1.54054 65.7309 31.0413 0.0293436 0 0.0293436 0.0440154 0.0440154 0.0293436 0 0 0
mat: -961 0.0401869 0.0362231 36.9582 85.03005908009892 1.55097 1.58108 65.4475 31.2398 0.0301158 0 0.0301158 0.0451737 0.0451737 0.0301158 0 0 0
mat: -960 0.041186 0.0371407 36.9562 84.9784164790595 1.59073 1.62162 65.1641 31.4382 0.030888 0 0.030888 0.046332 0.046332 0.030888 0 0 0
mat: -959 0.0421852 0.0380592 36.9542 84.92683878395803 1.6305 1.66216 64.8807 31.6367 0.0316602 0 0.0316602 0.0474903 0.0474903 0.0316602 0 0 0
mat: -958 0.0431843 0.0389785 36.9523 84.87531355800829 1.67027 1.7027 64.5973 31.8351 0.0324324 0 0.0324324 0.0486486 0.0486486 0.0324324 0 0 0
mat: -957 0.0441835 0.0398986 36.9503 84.82387789874373 1.71004 1.74324 64.3139 32.0336 0.0332046 0 0.0332046 0.049807 0.049807 0.0332046 0 0 0
mat: -956 0.0451826 0.0408195 36.9483 84.77249423729086 1.74981 1.78378 64.0305 32.232 0.0339768 0 0.0339768 0.0509653 0.0509653 0.0339768 0 0 0
mat: -955 0.0461818 0.0417413 36.9464 84.72119980070626 1.78958 1.82432 63.7471 32.4305 0.034749 0 0.034749 0.0521236 0.0521236 0.034749 0 0 0
mat: -954 0.0471809 0.0426639 36.9444 84.67000034988558 1.82934 1.86486 63.4637 32.629 0.0355212 0 0.0355212 0.0532819 0.0532819 0.0355212 0 0 0
